parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.5_0.2_0.5_0.2,0.99733192079191,0.967919445259322,5.51589047190197e-06,0.002584636448178,0.99733192079191, , ,0.008,0.99,0.959, 
0.5_0.2_0.5_0.5,0.995439540674099,0.621329897496488,2.23472605586135e-42,0.0035183542705537,0.995439540674099, , ,0.012,0.864,0.929, 
0.5_0.2_0.5_0.8,0.0777670326794775,0.0777670326794775,4.7013289519158e-108,0.0124292964083614,2.3867191275036198e-70, , ,0.005,0.139,0.539, 
0.5_0.2_0.5_1,0.0125808123042167,0.0125808123042167,1.15773182427367e-134,3.95070735462267e-06,2.74545050787376e-12,causal, ,0.0,0.044,0.97, 
0.5_0.2_0.5_3,0.572505425632738,0.0073572306559096,0.0,0.572505425632738,7.82888277261397e-246, , ,0.017,0.006,0.958, 
0.5_0.2_1_0.2,0.663878472664996,0.587339569079807,2.18830151083001e-10,5.47350609397613e-08,0.663878472664996, , ,0.0,0.856,0.265, 
0.5_0.2_1_0.5,0.0999337921241227,0.0999337921241227,4.68217733796248e-57,0.0041075102503031,5.4374848948698804e-98, , ,0.006,0.065,0.032, 
0.5_0.2_1_0.8,0.0011360957985963,0.0011360957985963,2.29006942636984e-101,8.43559933722112e-05,4.33276080879231e-77,causal, ,0.0,0.002,0.05, 
0.5_0.2_1_1,1.0,0.774687341359078,2.3703998512036e-126,0.164253847686181,1.0, , ,0.64,0.322,0.983, 
0.5_0.2_1_3,0.0533677051749075,0.0034811537784066,0.0,0.0533677051749075,1.77646059492889e-89, , ,0.004,0.015,0.117, 
0.5_0.5_0.5_0.2,0.999999785136246,0.30658461129263,6.64213497004222e-08,4.3169207912681597e-16,0.999999785136246, , ,0.0,0.232,0.382, 
0.5_0.5_0.5_0.5,0.0003704849191913,0.0003704849191913,1.36173296377014e-51,4.18063134121074e-08,7.82309156318982e-41,causal, ,0.0,0.001,0.083, 
0.5_0.5_0.5_0.8,4.88716647926172e-05,4.88716647926172e-05,3.8520454873207297e-116,1.5210381392359e-10,8.34301783504027e-34,causal, ,0.0,0.0,0.001,causal
0.5_0.5_0.5_1,0.0003160120650044,4.98551387238376e-06,4.3167955913071497e-147,0.0003160120650044,1.58980113141842e-108,causal, ,0.0,0.0,0.001,causal
0.5_0.5_0.5_3,0.0074492755453252,9.49037004729331e-13,0.0,0.0074492755453252,5.11643949716205e-133,causal, ,0.0,0.0,0.003,causal
0.5_0.5_1_0.2,0.994379283473374,0.661216459452736,1.09547463098476e-11,1.9674766981383602e-14,0.994379283473374, , ,0.0,0.834,0.275, 
0.5_0.5_1_0.5,0.0009306772180458,0.0009306772180458,5.246382849726931e-54,5.63544019852441e-07,3.3169504157769403e-52,causal, ,0.0,0.006,0.052, 
0.5_0.5_1_0.8,2.43993108643711e-06,2.43993108643711e-06,9.902378737473201e-111,4.5253048595997894e-11,2.41617060631152e-53,causal, ,0.0,0.0,0.777, 
0.5_0.5_1_1,6.48904537692626e-10,1.77556166517443e-13,3.41661224372012e-159,6.48904537692626e-10,5.1571963697913003e-107,causal, ,0.0,0.0,0.0,causal
0.5_0.5_1_3,0.0507191247520678,6.33717597777058e-16,0.0,0.0507191247520678,1.29754127754362e-147, , ,0.0,0.0,0.009,causal
0.5_0.8_0.5_0.2,0.0027186975826005,0.0027186975826005,3.98603498396545e-07,4.8074874758260395e-30,1.09938809339027e-08,causal, ,0.0,0.008,0.038,causal
0.5_0.8_0.5_0.5,3.74076626294313e-08,3.74076626294313e-08,1.09249831101232e-51,3.3632973687401e-21,1.74326222565112e-39,causal, ,0.0,0.0,0.321, 
0.5_0.8_0.5_0.8,1.13716774751505e-16,3.3202528113295105e-20,2.4556503556311903e-120,1.13716774751505e-16,1.78990657369605e-101,causal, ,0.0,0.0,0.0,causal
0.5_0.8_0.5_1,1.70156302294492e-17,1.78502673893252e-20,2.33822451097021e-138,1.70156302294492e-17,1.04639855900352e-100,causal, ,0.0,0.0,0.0,causal
0.5_0.8_0.5_3,0.0017646740886048,2.12071615966419e-33,0.0,0.0017646740886048,3.54393515708828e-185,causal, ,0.0,0.0,0.0,causal
0.5_0.8_1_0.2,0.422773165143329,0.213465531437374,1.0116854753755001e-10,9.37862025929384e-30,0.422773165143329, , ,0.0,0.347,0.727, 
0.5_0.8_1_0.5,2.48129761987331e-05,2.48129761987331e-05,9.16894120539004e-53,3.25852864441775e-22,8.66640549552183e-30,causal, ,0.0,0.0,0.093, 
0.5_0.8_1_0.8,9.11013051646825e-14,9.11013051646825e-14,4.38522128356716e-100,3.99008625710005e-23,2.1981482567265897e-92,causal, ,0.0,0.0,0.0,causal
0.5_0.8_1_1,1.8717728472811299e-16,1.8717728472811299e-16,7.99281592627513e-168,1.73424554164699e-20,4.68240426363843e-50,causal, ,0.0,0.0,0.0,causal
0.5_0.8_1_3,0.0002291153551791,8.406590342295151e-35,0.0,0.0002291153551791,8.80697237814772e-219,causal, ,0.0,0.0,0.0,causal
0.5_1_0.5_0.2,0.0005645474845408,0.0005645474845408,2.91200264470172e-11,4.11745377314254e-41,1.9412750502429e-09,causal, ,0.0,0.005,0.021,causal
0.5_1_0.5_0.5,3.39125126806704e-13,3.39125126806704e-13,4.6914743890304394e-49,1.2862353257527699e-36,1.9899009185187498e-33,causal, ,0.0,0.0,0.0,causal
0.5_1_0.5_0.8,4.1966831509615995e-23,4.1966831509615995e-23,6.48125535170557e-113,4.66323786948009e-25,4.49573358284691e-83,causal, ,0.0,0.0,0.0,causal
0.5_1_0.5_1,6.01380196446893e-20,6.01380196446893e-20,8.87686464229808e-155,1.08580602411089e-31,5.5381883827629305e-52,causal, ,0.0,0.0,0.0,causal
0.5_1_0.5_3,2.27923588075605e-06,3.1079604582361904e-45,0.0,2.27923588075605e-06,7.364898911312e-300,causal, ,0.0,0.0,0.0,causal
0.5_1_1_0.2,1.00463280117464e-05,1.00463280117464e-05,1.28614777646113e-08,1.59353699835361e-49,3.66153164491275e-10,causal, ,0.0,0.0,0.001,causal
0.5_1_1_0.5,1.7806709642309202e-09,1.7806709642309202e-09,1.2561616570875999e-57,7.90281540777046e-43,6.35313515119716e-18,causal, ,0.0,0.0,0.029,causal
