V1,V2,V3,V4,V5,V6
0.144363876682077,0.37457580478953,0.466992108992094,NA,NA,NA
0.943537449433387,1.6667848864028e-16,0.507501818066291,NA,NA,NA
0.808885256419119,5.42455981359218e-58,0.332389796396939,NA,NA,NA
0.0920796561275598,4.92694865129535e-113,0.437853018731796,NA,NA,NA
0.966399026096202,4.5412575630102e-179,0.240945117621598,NA,NA,NA
0.90193671374568,9.15735901039557e-235,0.892552395584525,NA,NA,NA
0.0502247798495667,0,0.123483958443112,NA,NA,NA
0.0693285133109406,0,0.273552260719969,NA,NA,NA
0.0629920489238391,0,0.0544646031258711,NA,NA,NA
0.346612324724845,0,0.263783754682005,NA,NA,NA
1.33382306421496e-13,0.300366780251849,0.330828647392423,NA,NA,NA
7.48995809382191e-16,2.22329126772306e-15,0.597740461019067,2.75928036889105e-16,8.18361449923432e-16,NA
8.12365960109988e-16,3.8740193834059e-46,0.000970576144245174,2.32196874015586e-13,1.42793779342844e-43,0.95544850786398
1.21008794177043e-16,2.5453385841988e-123,6.30020759950466e-05,1.42220827509866e-13,1.0080065794155e-119,0.12279979466057
1.08707667198634e-18,1.46058571945173e-196,2.50284230145783e-13,4.29284850035898e-07,3.75674998549829e-182,0.197000733222631
9.39556744554029e-18,6.53204570143706e-222,1.22920540663795e-09,1.41124885461341e-09,2.27673507106497e-211,0.518449008103016
8.76274219463868e-11,0,1.74591987634382e-08,0.00124997370148816,1.66289931676298e-302,0.645727325221129
1.66394641970698e-13,0,2.85581707809434e-12,0.0132935276114387,0,0.422926946236416
1.30908202323525e-11,0,2.15605977956494e-08,2.71875815043332e-05,0,0.0692439517932148
5.01252707641671e-20,0,1.53375778375895e-18,0.00941380247960752,0,0.690909491057826
1.1009014038155e-57,0.548434480750724,0.3305494921406,NA,NA,NA
1.54783502051689e-44,2.89988398516288e-18,0.0483311368358689,2.46101085571538e-44,4.29477315288789e-18,NA
9.77294074669024e-50,4.20361794807406e-53,4.94397509204079e-12,8.07286779779542e-39,3.89823216408827e-42,0.481099525909908
3.0593436765461e-49,1.04641346375374e-110,1.00906137137808e-17,2.0369632840568e-32,1.81889029006349e-92,0.977926960177452
1.00408782446631e-41,7.44626980291573e-171,6.55070743928141e-25,2.41297330129886e-18,2.17873348158604e-143,0.151882895822822
9.02419771195063e-45,4.05264499495718e-225,1.74053639087665e-25,2.85323901283546e-20,1.09256251975133e-194,0.934186747845518
8.03086354551802e-57,6.77332644643584e-295,1.79211996608206e-40,2.31599728171284e-17,2.82753291072903e-243,0.296095246342086
1.51441063681713e-54,0,1.62452376049027e-43,5.38517833060389e-12,0,0.890646774098309
3.83428627217577e-56,0,5.2907363201206e-48,3.52983664625231e-09,0,0.923167608321574
2.04097195213361e-64,0,3.22390580459671e-56,3.60888692782061e-09,0,0.766201339818198
1.915910123824e-109,1.48952210255956e-05,0.000300492246224974,1.88613356553475e-106,0.00717013385552415,0.209677556177007
3.49956976318223e-105,1.55544695274232e-15,1.77304727957798e-06,2.13251253922225e-99,2.07466306872484e-10,0.924239583955642
8.57455176148337e-119,3.78610961197309e-55,6.78652340132624e-27,3.5716208853734e-91,1.06092364780408e-29,0.0631292272901799
1.287657045295e-105,7.75420220619727e-106,1.59004057623245e-33,1.26323968378232e-70,7.77915185344285e-71,0.777811222848214
2.83767643731109e-99,2.7189497958497e-173,1.20579630660154e-46,3.37871216384447e-51,9.44201671654688e-121,0.593726430509192
9.88830581019296e-110,1.7980884612253e-240,5.97703361796018e-61,1.11219062843542e-46,2.32932047675961e-167,0.782029165489788
3.45851970098576e-95,0,2.01908237867573e-59,8.36001003097751e-35,3.98198956710024e-244,0.555892168863294
2.48083281466569e-101,0,8.69504390776594e-71,4.49953476502211e-30,0,0.106951871090476
6.30138725315752e-106,0,8.9585293325182e-90,4.25591574986992e-16,0,0.464440573841903
1.29068922709251e-106,0,1.04411311946616e-95,2.23696514958253e-11,0,0.37067309112772
5.96638445234845e-176,0.354231491931996,0.392524695927844,NA,NA,NA
3.26365401049945e-184,1.40885764307414e-14,6.1109096769425e-11,5.17308083178804e-173,1.83145831854778e-05,0.142046233273977
3.86611394569069e-164,4.04593452716439e-61,5.5677047773122e-23,2.95173452886117e-139,2.97385345056584e-39,0.104976557391486
4.44349039323759e-174,1.44005293328904e-116,3.02073561036237e-62,4.91297884971716e-106,5.34244695143565e-53,0.0179695729075542
2.56703145289988e-170,1.18417879423392e-190,7.9776333669273e-81,1.2804611388072e-82,6.30352434563616e-101,0.153357995747314
5.04837944786902e-154,6.51272735755616e-239,7.02278930727521e-83,1.35667489204307e-65,7.73348258719995e-142,0.451283630902144
3.64133799082536e-173,8.50974633720041e-301,1.17632638748359e-96,3.39397912659984e-69,4.35846927157774e-182,0.533889340802102
1.03907081793186e-166,0,4.35730874934135e-122,7.81609300442265e-40,1.12323117752632e-286,0.711451285445824
2.40106497922309e-176,0,1.92033612609377e-144,2.2292187296053e-28,0,0.400336018527501
8.02096942310495e-171,0,4.20677924988814e-147,2.46231847618772e-21,0,0.846372962587522
1.49900860471789e-262,0.438077493119521,0.526729555310739,NA,NA,NA
3.61740137538327e-249,1.22008563154448e-16,2.42612470119136e-13,5.93413907183146e-234,4.76353903721646e-05,0.173097020287932
1.52352438571222e-238,7.71298370879907e-47,3.74682499746956e-23,2.72280654625476e-211,3.60428505823395e-25,0.11460664545136
8.01792867017943e-247,5.89704285995958e-101,1.27979445502233e-54,1.45382901934073e-180,8.36932378963376e-45,0.679902745561815
3.51519039443992e-237,1.44896448432858e-176,1.2145217880015e-83,1.90306728708601e-139,4.90546873770901e-85,0.477586062253711
2.72932360021498e-229,2.14884311670521e-247,2.31262048084993e-125,1.1165541423949e-91,3.62338380960828e-107,0.0141877491155668
3.26927257062517e-258,0,1.98030930140204e-152,1.12115638330952e-89,5.5052172232901e-139,0.106260775550854
4.07703671323818e-244,0,1.53640268353153e-171,1.36830669161252e-60,5.36295446417005e-223,0.27979465189261
2.0122998317136e-274,0,5.34649746157916e-197,7.69054760870234e-63,1.30869958374037e-298,0.275696688410917
1.81529006718894e-220,0,1.97694449503473e-180,6.30071156486088e-34,0,0.304615661203602
0,0.0669047994979463,0.0590709778741221,NA,NA,NA
0,2.21745101686081e-15,1.02391050707004e-10,7.27339231468299e-304,5.04160915189585e-06,0.832369682468856
1.00419087439107e-288,5.53660555255604e-58,1.59034722305825e-34,7.91007319794803e-245,3.24011909375418e-24,0.400331658829871
0,1.33786983783019e-94,1.37903264912426e-64,9.96805397653469e-245,2.75219344237669e-29,0.579612001036817
1.72245319588019e-296,1.16406846722532e-181,3.17403035255137e-104,6.33129038074285e-170,2.6769374145666e-69,0.851721058894897
0,5.7268921084612e-238,3.95720119262872e-124,1.10001923626403e-159,4.52487557811467e-99,0.295124859120582
0,0,1.12025354836769e-164,9.63158233430857e-120,2.28309434818987e-141,0.733960835047222
0,0,6.96450382638634e-211,1.12072587162086e-86,4.96331033889207e-203,0.898958141856365
4.88128680366373e-293,0,5.71002721389634e-214,3.44059306906543e-63,0,0.185086645745952
0,0,4.28144169446956e-271,6.42152324709348e-45,0,0.433977518802883
0,0.0177133011891878,0.0267541796551201,NA,NA,NA
0,3.96163004722652e-18,2.35877408882172e-14,0,4.09256241344999e-05,0.84717424391868
0,1.60811089725364e-60,2.22597210283439e-43,0,3.35272198496495e-18,0.187360473567429
0,2.54609552997168e-104,9.03316616022342e-76,0,1.27503431203505e-27,0.457251487393582
0,8.81534243242493e-145,4.27417200304926e-97,3.08776000427913e-305,3.18319391222552e-44,0.124179325605612
0,9.02778346175715e-222,1.42022075462577e-150,4.30361215257397e-242,1.4891271618495e-60,0.928295849055537
0,1.17739073175026e-304,4.25611703822023e-204,3.23108591083215e-213,3.12036745244437e-80,0.871141235403583
0,0,1.56342235744009e-264,6.0773577670037e-140,2.50826094577013e-136,0.603609311245569
0,0,3.06934352277871e-293,9.83759443411273e-107,1.45421855363843e-218,0.297222478114942
0,0,0,1.23648676560272e-88,2.09605368035301e-269,0.243402298957594
0,0.033954085660638,0.0529140883891471,NA,NA,NA
0,1.52822577236703e-21,3.05067822416638e-17,0,7.00756273896306e-06,0.296489796967425
0,1.02894159950643e-46,7.79295870445555e-36,0,1.84493957034518e-12,0.13211448417155
0,4.64475714628438e-113,2.94361334952004e-95,0,2.13222707595298e-17,0.623399052830775
0,5.84272953041617e-162,2.43595912062652e-124,0,4.19264280017215e-34,0.200264530042321
0,1.12075583568046e-285,2.57514603672459e-213,0,1.09329401200674e-57,0.579117614461968
0,0,7.55448939187023e-234,8.87349007772834e-273,1.43557353941229e-69,0.653064576439563
0,0,1.61221131965735e-299,1.71431590413342e-208,2.22500269631291e-114,0.261842481670753
0,0,0,1.98558372251204e-159,2.99068614747703e-157,0.314546341248144
0,0,0,5.6830448421982e-123,1.63213326512455e-184,0.72167656331223
0,0.615249242843593,0.896859676231983,NA,NA,NA
0,6.01720349005811e-19,6.29750183823823e-18,0,0.0275361864944479,0.562352713118188
0,5.22178299514983e-52,2.5108240239871e-45,0,7.81942444891975e-08,0.711406996253594
0,3.10540417122773e-111,8.938683755481e-95,0,3.34004900019984e-16,0.659891514012174
0,7.78782986433839e-188,4.34767316527818e-156,0,6.94869508426988e-28,0.42247561303735
0,2.85979325340622e-228,6.0746478323261e-199,0,4.4020766992038e-25,0.163456948259249
0,0,3.04404156308276e-255,0,9.69007248277962e-46,0.468210031722239
0,0,0,9.00764067656225e-280,4.77916158532262e-79,0.588856206990077
0,0,0,6.78901601245567e-196,7.63514335856538e-112,0.535732841169492
0,0,0,1.45695795011202e-161,4.97250855253314e-176,0.134802160938995
