0,parameters,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0,0.1_0.1,0.68,0.37,0.62, 
1,0.1_0.2,0.64,0.14,0.72, 
2,0.1_0.3,0.01,0.66,0.93, 
3,0.1_0.4,0.08,0.24,0.85, 
4,0.1_0.5,0.15,0.99,0.87, 
5,0.1_0.6,0.02,0.72,0.11, 
6,0.1_0.7,0.09,0.01,0.36, 
7,0.1_0.8,0.2,0.28,0.18, 
8,0.1_0.9,0.94,0.24,0.87, 
9,0.1_1,0.01,0.0,0.05, 
10,0.1_3,0.8,0.8,0.02, 
11,0.2_0.1,0.0,0.07,0.75, 
12,0.2_0.2,0.0,0.8,0.7, 
13,0.2_0.3,0.06,0.29,0.1, 
14,0.2_0.4,0.0,0.3,0.04, 
15,0.2_0.5,0.06,0.52,0.15, 
16,0.2_0.6,0.0,0.23,0.31, 
17,0.2_0.7,0.05,0.32,0.21, 
18,0.2_0.8,0.0,0.0,0.01,causal
19,0.2_0.9,0.01,0.31,0.44, 
20,0.2_1,0.09,0.02,0.09, 
21,0.2_3,0.0,0.0,0.0,causal
22,0.3_0.1,0.0,0.39,0.29, 
23,0.3_0.2,0.0,0.12,0.88, 
24,0.3_0.3,0.0,0.02,0.77, 
25,0.3_0.4,0.0,0.01,0.34, 
26,0.3_0.5,0.0,0.05,0.16, 
27,0.3_0.6,0.0,0.0,0.1, 
28,0.3_0.7,0.0,0.35,0.39, 
29,0.3_0.8,0.0,0.12,0.3, 
30,0.3_0.9,0.0,0.12,0.4, 
31,0.3_1,0.0,0.01,0.24, 
32,0.3_3,0.0,0.0,0.0,causal
33,0.4_0.1,0.0,0.37,0.2, 
34,0.4_0.2,0.0,0.26,0.08, 
35,0.4_0.3,0.0,0.02,0.25, 
36,0.4_0.4,0.0,0.05,0.03, 
37,0.4_0.5,0.0,0.12,0.48, 
38,0.4_0.6,0.0,0.0,0.75, 
39,0.4_0.7,0.0,0.0,0.0,causal
40,0.4_0.8,0.0,0.0,0.04,causal
41,0.4_0.9,0.0,0.0,0.01,causal
42,0.4_1,0.0,0.0,0.04,causal
43,0.4_3,0.0,0.0,0.0,causal
44,0.5_0.1,0.0,0.09,0.05, 
45,0.5_0.2,0.0,0.0,0.57, 
46,0.5_0.3,0.0,0.36,0.5, 
47,0.5_0.4,0.0,0.02,0.01,causal
48,0.5_0.5,0.0,0.0,0.09, 
49,0.5_0.6,0.0,0.0,0.01,causal
50,0.5_0.7,0.0,0.0,0.12, 
51,0.5_0.8,0.0,0.0,0.01,causal
52,0.5_0.9,0.0,0.0,0.0,causal
53,0.5_1,0.0,0.0,0.01,causal
54,0.5_3,0.0,0.0,0.0,causal
55,0.6_0.1,0.0,0.6,0.63, 
56,0.6_0.2,0.0,0.01,0.21, 
57,0.6_0.3,0.0,0.06,0.09, 
58,0.6_0.4,0.0,0.0,0.0,causal
59,0.6_0.5,0.0,0.0,0.01,causal
60,0.6_0.6,0.0,0.0,0.14, 
61,0.6_0.7,0.0,0.0,0.0,causal
62,0.6_0.8,0.0,0.0,0.38, 
63,0.6_0.9,0.0,0.0,0.09, 
64,0.6_1,0.0,0.0,0.0,causal
65,0.6_3,0.0,0.0,0.0,causal
66,0.7_0.1,0.0,0.65,0.95, 
67,0.7_0.2,0.0,0.03,0.64, 
68,0.7_0.3,0.0,0.08,0.65, 
69,0.7_0.4,0.0,0.0,0.0,causal
70,0.7_0.5,0.0,0.0,0.0,causal
71,0.7_0.6,0.0,0.0,0.05, 
72,0.7_0.7,0.0,0.0,0.0,causal
73,0.7_0.8,0.0,0.0,0.0,causal
74,0.7_0.9,0.0,0.0,0.0,causal
75,0.7_1,0.0,0.0,0.0,causal
76,0.7_3,0.0,0.0,0.0,causal
77,0.8_0.1,0.0,0.43,0.02, 
78,0.8_0.2,0.0,0.03,0.4, 
79,0.8_0.3,0.0,0.0,0.45, 
80,0.8_0.4,0.0,0.0,0.02,causal
81,0.8_0.5,0.0,0.0,0.07, 
82,0.8_0.6,0.0,0.0,0.0,causal
83,0.8_0.7,0.0,0.0,0.0,causal
84,0.8_0.8,0.0,0.0,0.02,causal
85,0.8_0.9,0.0,0.0,0.0,causal
86,0.8_1,0.0,0.0,0.0,causal
87,0.8_3,0.0,0.0,0.0,causal
88,0.9_0.1,0.0,0.08,0.39, 
89,0.9_0.2,0.0,0.03,0.34, 
90,0.9_0.3,0.0,0.0,0.0,causal
91,0.9_0.4,0.0,0.0,0.39, 
92,0.9_0.5,0.0,0.0,0.86, 
93,0.9_0.6,0.0,0.0,0.05, 
94,0.9_0.7,0.0,0.0,0.04,causal
95,0.9_0.8,0.0,0.0,0.0,causal
96,0.9_0.9,0.0,0.0,0.0,causal
97,0.9_1,0.0,0.0,0.0,causal
98,0.9_3,0.0,0.0,0.0,causal
99,1_0.1,0.0,0.61,0.7, 
100,1_0.2,0.0,0.02,0.17, 
101,1_0.3,0.0,0.0,0.01,causal
102,1_0.4,0.0,0.0,0.01,causal
103,1_0.5,0.0,0.0,0.01,causal
104,1_0.6,0.0,0.0,0.0,causal
105,1_0.7,0.0,0.0,0.0,causal
106,1_0.8,0.0,0.0,0.0,causal
107,1_0.9,0.0,0.0,0.0,causal
108,1_1,0.0,0.0,0.0,causal
109,1_3,0.0,0.0,0.0,causal
110,3_0.1,0.0,0.0,0.31, 
111,3_0.2,0.0,0.0,0.05, 
112,3_0.3,0.0,0.0,0.03,causal
113,3_0.4,0.0,0.0,0.0,causal
114,3_0.5,0.0,0.0,0.0,causal
115,3_0.6,0.0,0.0,0.0,causal
116,3_0.7,0.0,0.0,0.0,causal
117,3_0.8,0.0,0.0,0.0,causal
118,3_0.9,0.0,0.0,0.0,causal
119,3_1,0.0,0.0,0.0,causal
120,3_3,0.0,0.0,0.0,causal
