fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.1,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.15,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.2,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.25,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.3,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.35,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.4,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.45,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.5,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.55,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.6,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.65,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.7,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.75,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.8,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.85,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.9,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
0.95,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
1,chrXI:357004_A/G|YKL043W,chrXI:357004_A/G|YFL018C,chrXI:357004_A/G|YKR013W,YKL043W|YFL018C,YKL043W|YKR013W,YFL018C|YKL043W,YKR013W|YKL043W,1,1,1,1,1,1,1
