fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIX:384189_T/C|YIR017C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,NA,1,1,1,1,1,1,NA,NA
0.1,chrIX:384189_T/C|YIR017C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,NA,1,1,1,1,1,1,NA,NA
0.15,chrIX:384189_T/C|YIR017C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,NA,1,1,1,1,1,1,NA,NA
0.2,chrIX:384189_T/C|YIR017C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,NA,1,1,1,1,1,1,NA,NA
0.25,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.3,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.35,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.4,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.45,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.5,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.55,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.6,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.65,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.7,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.75,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YIL011W,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YKR093W|YJL212C,YIL011W|YGR055W,NA,1,1,1,1,1,1,1,NA
0.8,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YJL212C,chrIX:384189_T/C|YIL011W,YIR017C|YJL212C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YIL011W|YGR055W,1,1,1,1,1,1,1,1
0.85,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YJL212C,chrIX:384189_T/C|YIL011W,YIR017C|YJL212C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YIL011W|YGR055W,1,1,1,1,1,1,1,1
0.9,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YJL212C,chrIX:384189_T/C|YIL011W,YIR017C|YJL212C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YIL011W|YGR055W,1,1,1,1,1,1,1,1
0.95,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YJL212C,chrIX:384189_T/C|YIL011W,YIR017C|YJL212C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YIL011W|YGR055W,1,1,1,1,1,1,1,1
1,chrIX:384189_T/C|YIR017C,chrIX:384189_T/C|YJL212C,chrIX:384189_T/C|YIL011W,YIR017C|YJL212C,YJL212C|YIR017C,YJL212C|YGR055W,YJL212C|YKR093W,YIL011W|YGR055W,1,1,1,1,1,1,1,1
