fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,NA,1,1,1,1,1,1,1,1,1,NA
0.1,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.15,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.2,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.25,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.3,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.35,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.4,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.45,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.5,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.55,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.6,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.65,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.7,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.75,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.8,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.85,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.9,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
0.95,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
1,YMR164C|YJR042W,YMR230W|YGL055W,YMR230W|YIL140W,YMR230W|YOL011W,YJR042W|YGL055W,YJR042W|YIL140W,YMR251W|YMR164C,YMR251W|YGL055W,YOL011W|YMR164C,YOL011W|YMR230W,1,1,1,1,1,1,1,1,1,1
