fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YOR032C,YMR193W|YBL002W,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YBR035C|YNL193W,YNL193W|YKR062W,YNL193W|YDL191W,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YDR234W,YOR047C|YDR234W,YOR047C|YLR447C,YJR137C|YPR167C,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YNL277W|YJR137C,YLR447C|YNL193W,YLR447C|YOR047C,YLR447C|YDR326C,YGL255W|YGL254W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.1,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YBR035C|YNL193W,YNL193W|YDL191W,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YDR234W,YOR047C|YDR234W,YOR047C|YLR447C,YJR137C|YPR167C,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YNL277W|YJR137C,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YLR447C|YDR326C,YGL255W|YGL254W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.15,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YOR313C|YLR447C,YBR035C|YNL193W,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YDR234W,YOR047C|YDR234W,YJR137C|YPR167C,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YNL277W|YJR137C,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.2,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YOR313C|YLR447C,YBR035C|YNL193W,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YDR234W,YOR047C|YDR234W,YJR137C|YPR167C,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YNL277W|YJR137C,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.25,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YOR313C|YLR447C,YBR035C|YNL193W,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YDR234W,YOR047C|YDR234W,YJR137C|YPR167C,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YNL277W|YJR137C,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.3,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.35,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.4,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.45,chrXVI:481979_C/T|YPL038W,YPL038W|YER007C-A,YKR062W|YNL193W,YKR062W|YOR032C,YMR193W|YKR062W,YMR193W|YBL002W,YMR193W|YOR032C,YJL187C|YDR501W,YJL187C|YAL029C,YPR167C|YBL002W,YPR167C|YJR137C,YGL254W|YNL277W,YGL254W|YGL255W,YBL002W|YOR313C,YDL191W|YGL205W,YDL191W|YGR281W,YDL191W|YNL193W,YGL205W|YDL191W,YGL205W|YOR313C,YGR281W|YDL191W,YGR281W|YOR032C,YDR234W|YNR050C,YOR313C|YLR447C,YNL193W|YBR035C,YDR501W|YJL187C,YDR501W|YBL002W,YNR050C|YJR137C,YOR047C|YDR234W,YJR137C|YDR234W,YJR137C|YNL277W,YOR032C|YKR062W,YOR032C|YMR193W,YAL029C|YJL187C,YAL029C|YBR035C,YAL029C|YDR326C,YDR326C|YAL029C,YDR326C|YLR447C,YNL277W|YGL254W,YLR447C|YKR062W,YLR447C|YNL193W,YLR447C|YOR047C,YGL255W|YGL254W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
