fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.1,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.15,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.2,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.25,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.3,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.35,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.4,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.45,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.5,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.55,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.6,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.65,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.7,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.75,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.8,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.85,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.9,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
0.95,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
1,chrVIII:336408_T/C|YHR115C,YHR124W|YHR104W,YHR064C|YHR104W,YHR064C|YHR062C,YHR062C|YHR115C,YHR062C|YHR064C,YHR062C|YHR104W,1,1,1,1,1,1,1
