fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YJL110C,YKR052C|YKR036C,YKR052C|YIR032C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YPR138C|YJL110C,YIR032C|YDL210W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YJL110C,YKR052C|YKR036C,YKR052C|YIR032C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YPR138C|YJL110C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.15,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YJL110C,YKR052C|YKR036C,YKR052C|YIR032C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YPR138C|YJL110C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.2,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YJL110C,YKR052C|YKR036C,YKR052C|YIR032C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YPR138C|YJL110C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.25,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YJL110C,YKR052C|YKR036C,YKR052C|YIR032C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YPR138C|YJL110C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.3,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR052C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YKR036C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YIR032C|YKR052C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.35,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR052C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YKR036C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YIR032C|YKR052C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.4,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR052C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YKR036C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YIR032C|YKR052C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.45,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR052C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YKR036C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YIR032C|YKR052C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.5,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR052C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YKR036C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YIR032C|YKR052C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.55,chrXI:500926_G/A|YKR034W,chrXI:500926_G/A|YDL210W,chrXI:500926_G/A|YIR032C,YJL110C|YKR052C,YJL110C|YKR036C,YIR031C|YKR034W,YIR031C|YEL063C,YKR052C|YKR036C,YDL210W|YEL063C,YDL210W|YPR138C,YDL210W|YIR032C,YEL063C|YKR034W,YEL063C|YIR031C,YKR036C|YJL110C,YKR036C|YKR052C,YPR138C|YKR034W,YIR032C|YKR052C,YIR032C|YDL210W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
