fdr,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YLR014C|YLR420W,YLR014C|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,1,1,1,1
0.1,chrXII:163451_A/G|YLR180W,YLR014C|YLR420W,YLR180W|YLR014C,NA,1,1,1,NA
0.15,chrXII:163451_A/G|YLR180W,YLR014C|YLR420W,YLR180W|YLR014C,NA,1,1,1,NA
0.2,chrXII:163451_A/G|YLR180W,YLR014C|YLR420W,YLR180W|YLR014C,NA,1,1,1,NA
0.25,chrXII:163451_A/G|YLR180W,YLR014C|YLR420W,YLR180W|YLR014C,NA,1,1,1,NA
0.3,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.35,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.4,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.45,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.5,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.55,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.6,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.65,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.7,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.75,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.8,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.85,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.9,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
0.95,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
1,chrXII:163451_A/G|YLR180W,YLR420W|YLR014C,YLR180W|YLR014C,NA,1,1,1,NA
