fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YDR534C|YOL155C,YFL030W|YOR120W,YFL030W|YER018C,YFL030W|YNL274C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YNL274C,YJR100C|YHR161C,YJR100C|YDR231C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YMR182C|YDL047W,YLR151C|YHR161C,YLR151C|YLR152C,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.1,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YMR172W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YDL047W|YDR534C,YEL041W|YHR178W,YEL041W|YLR152C,YDR534C|YHR184W,YFL030W|YOR120W,YFL030W|YER018C,YFL030W|YNL274C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YNL274C,YJR100C|YHR161C,YJR100C|YDR231C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YHR178W,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.15,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YMR172W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YDL047W|YDR534C,YEL041W|YHR178W,YEL041W|YLR152C,YDR534C|YHR184W,YFL030W|YOR120W,YFL030W|YER018C,YFL030W|YNL274C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YNL274C,YJR100C|YHR161C,YJR100C|YDR231C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YHR178W,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.2,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YMR172W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YDL047W|YDR534C,YEL041W|YHR178W,YEL041W|YLR152C,YDR534C|YHR184W,YFL030W|YOR120W,YFL030W|YER018C,YFL030W|YNL274C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YNL274C,YJR100C|YHR161C,YJR100C|YDR231C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YHR178W,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.25,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YMR172W|YHR178W,YMR172W|YDL073W,YMR172W|YMR182C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YDL047W|YDR534C,YEL041W|YHR178W,YEL041W|YLR152C,YDR534C|YOR074C,YDR534C|YHR184W,YFL030W|YOR120W,YFL030W|YER018C,YFL030W|YNL274C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YNL274C,YJR100C|YHR161C,YJR100C|YDR231C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YHR178W,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YEL071W,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.3,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YMR172W|YHR178W,YMR172W|YDL073W,YMR172W|YER099C,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YJR100C,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YHR178W,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YMR172W,YER099C|YEL071W,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YMR172W|YHR178W,YMR172W|YDL073W,YMR172W|YER099C,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YJR100C,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YHR178W,YGL196W|YDR232W,YGL196W|YDR248C,YER099C|YMR172W,YER099C|YEL071W,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YER099C,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YJR100C,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.45,chrVIII:459310_C/G|YHR163W,chrVIII:459310_C/G|YDR231C,YHR178W|YOR087W,YHR178W|YEL041W,YOR087W|YHR178W,YMR172W|YDL073W,YMR172W|YER099C,YMR172W|YMR182C,YOR074C|YDR534C,YER089C|YHR161C,YER089C|YOL155C,YDL198C|YEL071W,YEL041W|YHR178W,YEL041W|YLR152C,YHR184W|YDR534C,YDR534C|YOR074C,YDR534C|YHR184W,YDR534C|YOL155C,YHR161C|YLR377C,YHR161C|YLR151C,YMR315W|YHR161C,YMR315W|YOR120W,YEL071W|YDL198C,YEL071W|YFL030W,YEL071W|YER099C,YOR120W|YFL030W,YOR120W|YMR315W,YOR120W|YJR100C,YJR100C|YHR161C,YHR183W|YHR163W,YHR183W|YMR318C,YER018C|YDL073W,YER018C|YFL030W,YDR231C|YJR100C,YNL274C|YFL030W,YNL274C|YMR315W,YNL274C|YOR120W,YDR232W|YGL196W,YDR232W|YMR182C,YGL196W|YDR232W,YGL196W|YDR248C,YMR182C|YDL047W,YMR318C|YHR183W,YLR152C|YEL041W,YLR152C|YLR151C,YOL155C|YER089C,YOL155C|YDR534C,YOL155C|YNL274C,YDR248C|YNL274C,YDR248C|YGL196W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
