fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.1,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.15,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.2,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.25,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.3,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.35,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.4,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.45,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.5,chrXIII:313064_C/T|YMR019W,YOR254C|YMR019W,YOR254C|YHL038C,YOR254C|YEL020C,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,NA,1,1,1,1,1,1,1,NA
0.55,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.6,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.65,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.7,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.75,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.8,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.85,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.9,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
0.95,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
1,chrXIII:313064_C/T|YMR019W,YMR019W|YOR254C,YOR254C|YMR019W,YHL038C|YMR019W,YHL038C|YOR254C,YBR222C|YEL020C,YEL020C|YOR254C,YEL020C|YBR222C,1,1,1,1,1,1,1,1
