fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YOR306C|YKL015W,YKR013W|YKL045W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.1,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKR013W,YOR306C|YKL015W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.15,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKR013W,YOR306C|YKL015W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.2,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKR013W,YOR306C|YKL015W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.25,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.55,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,chrXI:409377_C/T|YKL015W,chrXI:409377_C/T|YLR142W,chrXI:409377_C/T|YHR037W,chrXI:409377_C/T|YKR013W,YKL024C|YKL045W,YKL024C|YOR306C,YLR142W|YHR037W,YLR142W|YOR306C,YHR037W|YLR142W,YKL045W|YKL015W,YKL045W|YKL024C,YKL045W|YKR013W,YOR306C|YKL015W,1,1,1,1,1,1,1,1,1,1,1,1,1
