fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YKL071W,YPL054W|YDR487C,YPL054W|YIR017C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YPR194C|YLR297W,YDR487C|YPL054W,YDR487C|YKL071W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPL054W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YKL071W,YPL054W|YDR487C,YPL054W|YIR017C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YPR194C|YLR297W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPL054W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.15,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YDR487C|YKL071W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.2,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.25,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.3,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.35,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.4,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.45,chrIV:1338321_T/G|YDR487C,YDR253C|YKL104C,YDR253C|YIR017C,YKL104C|YOL011W,YDR378C|YKL104C,YDR378C|YKR042W,YPL054W|YDR487C,YPL054W|YLR297W,YKR042W|YDR378C,YKR042W|YIR017C,YKL071W|YPL054W,YKL071W|YDR487C,YDR487C|YPL054W,YIR017C|YDR253C,YIR017C|YPL054W,YIR017C|YKR042W,YLR297W|YPR194C,YLR297W|YOL011W,YOL011W|YLR297W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
