fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,YDR423C|YKL071W,YKL071W|YDR423C,YGR177C|YDR423C,NA,NA,1,1,1,1,1,NA,NA
0.1,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,YDR423C|YKL071W,YKL071W|YDR423C,YGR177C|YDR423C,NA,NA,1,1,1,1,1,NA,NA
0.15,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.2,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.25,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.3,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.35,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.4,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.45,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.5,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.55,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.6,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.65,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.7,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.75,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.8,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.85,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.9,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
0.95,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
1,chrIV:1318030_A/C|YDR423C,chrIV:1318030_A/C|YKL071W,chrIV:1318030_A/C|YGR177C,YDR423C|YKL071W,YDR423C|YGR177C,YKL071W|YDR423C,YGR177C|YDR423C,1,1,1,1,1,1,1
