fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YJR155W,YNL300W|YDR309C,YNL300W|YGR078C,1,1,1,1,1,1,1,1,1,1,1
0.1,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.15,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.2,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.25,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.3,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.35,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.4,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.45,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.5,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.55,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.6,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.65,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.7,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.75,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
0.8,chrXI:94000_A/C|YKL185W,YKL185W|YJR155W,YKL185W|YDR309C,YKL185W|YNL300W,YJR155W|YNL300W,YDR309C|YGR078C,YDR309C|YNL300W,YGR078C|YDR309C,YNL300W|YGR078C,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
