fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.1,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.15,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.2,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.25,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.3,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.35,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.4,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.45,chrVII:448106_T/C|YGL001C,chrVII:448106_T/C|YDR492W,YGL013C|YER073W,YGL013C|YHR086W,YGL013C|YPL256C,YGL013C|YGL100W,YGL001C|YGR019W,YMR241W|YPL256C,YGR296W|YPL283C,YHR086W|YGL013C,YHR086W|YPL256C,YDR366C|YGR255C,YGR043C|YPL256C,YGR043C|YGR019W,YPL283C|YGR296W,YGR255C|YER073W,YGR255C|YDR366C,YGR255C|YGR019W,YNL255C|YGR019W,YNL255C|YCL043C,YER003C|YER073W,YER003C|YPL256C,YDR492W|YER073W,YGL100W|YGL013C,YGL100W|YER073W,YCL043C|YGR019W,YCL043C|YNL255C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
