fdr,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrX:663083_A/G|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,NA,1,1,1,1,NA
0.1,chrX:663083_A/G|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,NA,1,1,1,1,NA
0.15,chrX:663083_A/G|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,NA,1,1,1,1,NA
0.2,chrX:663083_A/G|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,NA,1,1,1,1,NA
0.25,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.3,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.35,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.4,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.45,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.5,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.55,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.6,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.65,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.7,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.75,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.8,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.85,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.9,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
0.95,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
1,chrX:663083_A/G|YJR127C,YKL197C|YJR127C,YKL197C|YGR270W,YGR270W|YJR127C,YGR270W|YKL197C,1,1,1,1,1
