fdr,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.1,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.15,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.2,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.25,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.3,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.35,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.4,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.45,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.5,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.55,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.6,chrVIII:67629_G/T|YHL020C,YER157W|YHL020C,YER157W|YJL153C,YJL153C|YHL020C,YJL153C|YER157W,NA,1,1,1,1,1,NA
0.65,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
0.7,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
0.75,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
0.8,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
0.85,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
0.9,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
0.95,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
1,chrVIII:67629_G/T|YHL020C,chrVIII:67629_G/T|YJL153C,YHL020C|YJL153C,YER157W|YHL020C,YJL153C|YHL020C,YJL153C|YER157W,1,1,1,1,1,1
