fdr,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YNL064C,YPL248C|YGL035C,NA,NA,1,1,1,NA,NA
0.1,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.15,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.2,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.25,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.3,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.35,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.4,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.45,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.5,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.55,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.6,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.65,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.7,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.75,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.8,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.85,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.9,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
0.95,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
1,chrVII:431867_A/G|YGL035C,chrVII:431867_A/G|YPL248C,chrVII:431867_A/G|YNL064C,YGL035C|YPL248C,YPL248C|YGL035C,1,1,1,1,1
