fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.1,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.15,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.2,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.25,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.3,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.35,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.4,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.45,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.5,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.55,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.6,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.65,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.7,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.75,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.8,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.85,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.9,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
0.95,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
1,chrII:216631_A/G|YBL005W,chrII:216631_A/G|YBL006C,chrII:216631_A/G|YBR031W,YBL005W|YBL006C,YBL006C|YBL005W,YBL006C|YBR031W,YBR031W|YBL006C,1,1,1,1,1,1,1
