fdr,edge names,edge names,edge names,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA
0.05,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.1,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.15,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.2,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.25,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.3,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.35,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.4,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.45,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.5,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.55,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.6,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.65,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.7,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.75,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.8,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.85,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.9,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
0.95,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
1,chrXV:1023392_T/G|YDL059C,YOR363C|YGR044C,YDL059C|YGR044C,1,1,1
