fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.15,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.55,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.65,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.75,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.85,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.95,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chrXIII:79575_C/T|YML098W,YOR303W|YOL058W,YMR002W|YOR303W,YMR002W|YHR179W,YMR071C|YML099C,YMR071C|YBL072C,YJL088W|YOR303W,YOL140W|YML099C,YOL140W|YJL088W,YML098W|YML099C,YBL072C|YHR037W,YHR179W|YML099C,YHR179W|YMR002W,YHR179W|YJL088W,YHR179W|YBL072C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
