fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YER152C|YFL048C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YHR138C|YDL214C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YFL048C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YHR138C,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YHR138C|YDL214C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YHR138C,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.15,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YHR138C|YDL214C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YHR138C,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YHR138C|YDL214C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YHR138C,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YHR138C|YDL214C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YHR138C,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YHR138C|YDL214C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YHR138C,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.4,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.45,YOR230W|YOR078W,YOR230W|YFL022C,YOR230W|YBR157C,YHR116W|YLR439W,YNL078W|YBR158W,YNL078W|YLR286C,YLR079W|YBL043W,YLR079W|YPR155C,YDL183C|YAL034C,YJR147W|YNL220W,YMR098C|YPR155C,YJL078C|YLR131C,YKL164C|YJL078C,YKL164C|YFL022C,YDR473C|YGR040W,YNL220W|YJR147W,YNL220W|YHR138C,YNL220W|YBR158W,YBL043W|YLR079W,YBL043W|YHR138C,YFL048C|YER152C,YFL048C|YDR473C,YFL048C|YLR439W,YAL034C|YLR131C,YAL034C|YDL183C,YAL034C|YLR287C-A,YAL034C|YDL214C,YLR286C|YNL078W,YLR286C|YLR287C-A,YLR286C|YJL078C,YDL214C|YHR138C,YLR439W|YHR116W,YLR439W|YFL048C,YOR078W|YDR473C,YFL022C|YER152C,YFL022C|YBR238C,YPR155C|YLR079W,YPR155C|YMR098C,YPR155C|YDL214C,YPR155C|YBR157C,YBR238C|YOR078W,YBR238C|YMR182C,YBR157C|YOR230W,YBR157C|YPR155C,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
