fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,NA,NA,1,1,1,1,1,1,1,NA,NA
0.1,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,NA,NA,1,1,1,1,1,1,1,NA,NA
0.15,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,NA,NA,1,1,1,1,1,1,1,NA,NA
0.2,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,NA,NA,1,1,1,1,1,1,1,NA,NA
0.25,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,NA,NA,1,1,1,1,1,1,1,NA,NA
0.3,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.35,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.4,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
0.45,chrXV:590443_A/G|YOR140W,chrXV:590443_A/G|YGR249W,YOR140W|YGL148W,YOR140W|YBR177C,YGR249W|YLL052C,YGL148W|YOR140W,YBR177C|YGR249W,YBR177C|YGL148W,YLL052C|YGL148W,1,1,1,1,1,1,1,1,1
