fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YLR354C|YNL274C,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER096W|YHR219W,YLR004C|YDL004W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YPL268W|YFL031W,YNL274C|YLR354C,YNL274C|YBL002W,YNL274C|YER094C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YKL063C|YNL289W,YKL063C|YER094C,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.1,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YLR354C|YNL274C,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER096W|YHR219W,YLR004C|YDL004W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YPL268W|YFL031W,YNL274C|YLR354C,YNL274C|YBL002W,YNL274C|YER094C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YKL063C|YNL289W,YKL063C|YER094C,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.15,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YLR354C|YNL274C,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER096W|YHR219W,YLR004C|YDL004W,YLR004C|YFL031W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YBL002W,YNL274C|YER094C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YLR354C|YNL274C,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER096W|YHR219W,YLR004C|YDL004W,YLR004C|YFL031W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YBL002W,YNL274C|YER094C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YLR354C|YNL274C,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER096W|YHR219W,YLR004C|YDL004W,YLR004C|YFL031W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YBL002W,YNL274C|YER094C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER096W|YHR219W,YLR004C|YDL004W,YLR004C|YFL031W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.35,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YDL004W|YLR004C,YGR180C|YHR219W,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YKL063C|YHR219W,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.4,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YDL004W|YLR004C,YGR180C|YHR219W,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YKL063C|YHR219W,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.45,YDL056W|YPL268W,YDL056W|YLR103C,YDL056W|YHL027W,YJL118W|YBL002W,YOR145C|YHR196W,YNL289W|YER096W,YNL289W|YGR189C,YBL002W|YJL118W,YBL002W|YNL274C,YBL002W|YDR224C,YJR132W|YKL125W,YJR132W|YHR196W,YJR132W|YCR065W,YGR296W|YPL283C,YKL125W|YJR132W,YKL125W|YHR196W,YER094C|YNL274C,YER094C|YKL063C,YLR300W|YNL289W,YLR300W|YCR065W,YHR219W|YGR180C,YHR219W|YKL063C,YDL004W|YLR004C,YGR180C|YHR219W,YGR180C|YDL004W,YGR180C|YFL031W,YPL268W|YDL056W,YPL268W|YDR372C,YNL274C|YLR354C,YNL274C|YDL004W,YPL283C|YGR296W,YLR103C|YDL056W,YLR103C|YHR196W,YLR103C|YCR065W,YHR196W|YOR145C,YHR196W|YJR132W,YHR196W|YKL125W,YHR196W|YLR103C,YCR065W|YHR219W,YHL027W|YDL056W,YHL027W|YFL031W,YKL063C|YNL289W,YKL063C|YER094C,YKL063C|YHR219W,YDR372C|YPL268W,YDR372C|YGR189C,YFL031W|YLR004C,YFL031W|YGR180C,YFL031W|YGR189C,YFL031W|YHL027W,YDR224C|YBL002W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
